text,cEXT,cNEU,cAGR,cCON,cOPN
"Well to me I will be writting for a solid twenty minutews so I guess I will talk about a very cool event that has just befallen me in the past few day. Early this summer I recived the new student directory, a directory that shows the pictures and intresets of the new incomming class. Well, when I first got the directory my sister who is nine looked at it first. When I finally got a chance to see it I noticed my sister had left me a note that said,    Girl you are going to marry page 32 named Nicloe Murphy.  I looked att the picture of the girl smiled at my sisters innocent joy and put the dirctory on my shelf, and thought nothing more of the girl. THen on Wendsday of this past week I see this knock out walking down the escaltor. I was walking with some friends and in an effort to get a better look at this beautiful girl I told my friends to go ahead. So I tried to make myself, not that anyone noticed. ok pause I have killed like five ants while I have been writign this thing. any way I tried to make myself look like I was doing something until she neard the door. I then reached out and conviently opened the door for her. She said,    Thank you,   and nothing more but I felt great! Well as I wathced her walk away I felt something in my gut tell me to go up and say hi or something of that nature. Well, I am fairly confident person and I have been known on occasion to go tell girls I thought were very pretty, just that, that they were pretty. I don't really know why I say these things sometimes it just makes me feel better that I told them they are pretty. Ok number six just got it. Ok so I have this gut feeling to go up and tell her I think she is beautiful. So I run up to where she is walking,and I kind of get infront of her and say,   Hi, I just wanted to tell you I think you are really pretty. Thats all thats all I wanted to tell you.  She says thank you and kind of smiles. It must be wierd for her to have some random guy just come up and tell her that, but I just kind of needed to. Well now for the cool as heck part. I reach out my hand to introduce myself,   Hi my name is Grant,   and She says   Hi I am Nicloe.    What is your last name?   I asked and she says   Murphy.  Well at this point I don't know if you can scroll back up to the begining of my story but, this is the same girl my nine year old sister picked out for me to marry! I couldn't believe it! Our conversation kind of ended there I said I would see her arounf and she said good bye. . I am almost out of time but I ended up talking to her on Friday and we are going to go out sometime this week. I couldn't believe how strange this whole thing played out but, I know I have prayed about it and I am just going to keep trying find teh right path and who knows, it might be something amazing.         ",low,high,low,low,low
"I wonder what my mother is doing right now. I hope that she is taking the news of the weekend plans well. If I hadn't told I think I would have felt guilty. Yeah guilty. Jeremy sure is excited about it so screw what she thinks I am going to be happy and if she gets mad at that than to bad for her. My father thinks it's okay. I mis my father I miss my bed I miss my House and my dog My dog that is one great dog I can;t wait for the weekend. Showering with shoes is getting old and I have only done it for a week and I am ready to take a shower with out shoes. Grandma food can't wiat to get grandma food. That is the best food the world has ever seen grandma food. I wish I could grandma food instead of cafe foood everyday. I really don't like my math professor I can;t understand a word he says serves me right not going to that web site and reading those teachers evaluation forms. Carols back and I don't where she been. I hope she had a great time. It is nice that she lets me us her computer I am tired of dealing wiht my internet service 20 minutes is a long time to type I am so tired of my internet service how in the world are we suppose to do it that stupid ethernet card I am about to throw it up against the wall I can't' wait to see my boyfriend I wonder what he is doing right now Its only been 10 minutes and my hands are really getting tired of typing My boyfriend what a great guy I hope that he is okay I'm sure that he is. He is the best. Ionder what it si that he got me he said he got me something I love surprises I wish I got surprises everyday that would make life great great this is great some music would be nice my favorits cd I haven't listened to it in a while and I really like it I wonder ay I haven't listen to it. I hope that Susan gto her paper done Man I need sleep I am so tired I think that I am going to get some disease if I don't get more sleep than I have been I have a sharp pain in my wriast from typing that's odd I wonder why that is It's been 15 minutes and it seems like forever ""Who will save our soul""  Jewel I really like jewel I really need to take a shower oh well I'll take one tomorrow I always have to think is tomorrow spelt with two r's or two m's. I can't ever get that right. Carol is cleaning I wonder if she will notice that I am writing about her she is great I like all of the people that I have met and my mother didn't think that I would make any friends. SHe was so wrong I think that 20 minutes is way to long my brain actually feels tired I wonder why that is It's probably because I wonder about too many things too many things I can't wait for Halloween maybe I'll go to a costume party that would be fun I havn't gone to one of those in a while I'm sure that there will be one some where around campus I love Chickfila Carol has a chikfila cow I think that's great I think maybe I should have bought one of those as well. I wish I had but than again I am a college student and like all other college students I have no money. No money I wish I had money it would make life so much easier or would maybe not maybe so that's a good question to ask myself money probably would make me lazy which would make me fat Yuck>  I am so excited about this weekend it makes me so happy to think about showering without shoes on and real food and all of the animals at Sea WOrld Its been a long time since I went to sea World to see all of the shows. This ime I am going to watch the shows so Jeremy can see them and that is Oma's favorite part the shows I always upset her beacuse I hate the shows this time she will be happy. ",high,low,high,high,high
"Why must it be so hard?   Why must I live like this?  Would it not be better if I simply throw away my life?  It would be so much easier. I wouldn't have to worry all the time about people's criticism. I wouldn't have to worry about making mistakes. But then, I'm human am I not?  Aren't we social creatures?  If I seperate myself from others, would I not cause myself harm?  Would I not also cause others pain?  A life lost is a gift lost. It is so difficult for me to live like this. Always in pain. But sometimes I gain a sense of glory when I live through the sufferings. It's as though these sufferings are meant to makme stronger. Like steel being tempered in a hot flame. Yet, there's still more pain to come. Will I survive?  surely there will be a point when I will not get stronger and break. But then how will I know where my limit is?  whether I live a mediocre life or on to te fullest, I will die. However, it seems as though the latr fashion of life is better. Therefore, with spirit, I will strive to live out that lifestyle. I try each moring, to fight the tempatations and do what is expected of me. If I live this way and think that it is the best way. Should I not persuade others to do the same?  Why not?  It seems that if everyone lived their life more fully, mankind will be more efficient and fruitful. We will  prosperous as  whole. But if I were to tell this opinion to others, someone will tell me that I should respect their opinion that they can do what ever they wish. But if it is right to repect all the opinions of all people. Would there not still be a conflict which contradicts that opinion that says that we all must respect the opinion of all?  For example, what if someone else's opinion is that people should not accept all opinions as truth. Would not the opinion of the person saying that we should respect all opinion be contrary to that opinion?  This brings about a lot of contradictions. Hence, notall opinions are to be respected.           ",high,high,low,high,low
"It was the second one for this job at the astronomy lab. I would be really excited if I got this job. Mostly because the people seem really laid back and fun. Also because I want to know about the stars. That would be neat to be able to impress people with my boundless knowledge about the boundless sky. I think I have a pretty good chance at getting the job. I was the very first person to call after she put the advertisement in. She told me to come in for an informal interview, mostly to show me around the place and introduce me to people. By the time I got there, 5 other people had called. Today she said she had spoke to about 30 people and narrowed it down among me and two other people. I think the interview went pretty well. I concentrated on sending out a hire me vibe. I wonder if being the first caller will increase my chances. What a cool job. So John has asked me to go see Giant with him tonight. I think I'll go. I hope he doesn't fall for me. That sounds conceited, but almost all of the guys that I want to be just friends with have a nasty habit of falling madly in love with me. it's really annoying. Maybe I should concentrate on being just friends with all the boys and that way the ones that I want to fall madly in love with me will. this sounds like the null hypothesis that we learned about in biology the other day. It's something like making a hypothesis based on past data. it's based on the theory that all populations are alike and any abnormalities are due to chance alone. So if all the boys that I'm just friends with fall for me, all the boys that I continue to be just friends with will fall for me. At least in some way. I think I'm a likeable person. I think people feel relaxed around me. People are always telling me things and then saying I can't believe I just told you that. things just tend to slip out. So I may go see Giant tonight. I think James Dean is in that. My sister used to be a huge James Dean fan. That's a main reason why I'm going. I love my sister. She is so smart and I was thinking last Monday night that she has influenced me in many wonderful ways. I was at my friends house last night and Jeremy started playing blackbird on the guitar. My sister and I shared a room for a while and she would always play that song as I was falling asleep. Not because she wanted to play me a lullaby or anything, just because she was trying to teach herself guitar, which she did very well by the way. The other song she used to always play was, um , I forget the name but this guy was playing it on the street today. Today it made me smile while the other night, Black Bird almost made me cry. I was in a sad emotional mood. I think I get moody right before and right after my period. The other night was right after. What was that  song. it's by pink Floyd. Oh well. I really want to get my CD player back. it's up in Denton at my x boyfriends place because I wasn't' going to need it this summer so I let him borrow it. I'll see him in a couple of weeks. I have mixed feelings about seeing him. I'm excited but scarred that I'm really not going to like him anymore. I think he's going to move to Austin over Christmas. I hope that works out. I also hope we can find some happy medium to our relationship. He was one of the reasons that I was so down the other night. I think I was lonely for a male companion or something. And I sort of have this crush on that guy Jeremy. His roommates are Jill and Leslie. Jeremy and Jill used to date, but John, Jeremy's best friend who I'm going to the movie's with tonight says that Jeremy broke up with Jill and that's why john is glad that Jill has found another really nice guy to date. But I think that makes Jeremy sort of regret breaking up with her because you can tell by watching them how much they still care for each other. It's kind of frustrating since I kind of like Jeremy now. This sounds like some sort of soap opera. I've never been into watching those, although my sister used to watch Days of our Lives religiously. I'm wondering if anyone is really going to read this since there's no wrong or right answer. The assignment was to write for at least 20 minutes and that's it. So is somebody going to read this or are you just going to check off names to see that it was done. I think another reason I want to get this job, other than making money, well I guess it is making money because there are a lot of things I want to buy. Every time I go to the book store I see this little disc man that I really want. I don't have a CD player here, remember?  and I could use it in my car this summer. I really want a CD player for my car. Well, if I get hired today, I will go out and reward myself by buying that disc man. I went to my friend Jed's ranch this weekend. I came up with this awesome idea. I want to get a climbing harness and rig up some ropes so I can throw the rope over a tree limb, hook it back to me, and hitch myself up and sit among the tree branches. I think this is an awesome idea, so it probably already exists in some form or fashion. Basically I'll need all the things they use to rappel down cliffs. I'm going to go the gym to check out the equipment and how it works to decide what kind of design I'll need. My 20 minutes are up. I think I went over, but I don't know by how much. Wouldn't it suck if I accidentally hit the clear button instead of the submit button. I will have to be very careful. I just remembered that the other song my sister used to play was Wish you were here by pink Floyd. ",high,low,high,low,high
"Now I am doing the stream of consious assignment for psy. class. It's wierd because I usually don't think this way, boy I am glad that Rachel Fair is one of my good friends, I mean I thought there was no way that we would ever keep up after highschool, but right now we talk everyday I am sitting here at my desk wondering if Mer will call I really had a wonderful time with her on Mon I have thought of her kissing my ear several times sense she did it when we were in the man I wish my sweetmates would pipe down how often is it that when you break up you spend more time with the girl you broke up with than before crazy huh. Well I wish that I could see mer right now she would be so nice to hug and hold close and feel her tightly pressed against me and then I would feel back in highschool I think that bucs is going to be a good fraternity for me to join zube seems to be a great leader I think that he really has a great heart or the lord it's been 10 min so I hope that I am getting close to the timelimit I tried to due the dang survey but my computer locked up towards the end so it didn't count any of the work that I did which completely blows  I am really secretly attracted to shannon across my hall she has the most carefree attitude its so infectious I can't help but be relaxed when around her plus she is hot today matt said that he knew that she wanted me so I thought that was pretty cool I wish that when I went to my mailbox there would be something from someone I am tight with everytime I love my mom I know that most guys my age have a pretty bad relationship with their parents so it's diffinitely strange to be as close to mine as I am I love the fact that my parents are starting to trust me and give me space I love this song on the cd inx is the best I just wish that he wouldn't have killed himself to try and show that he was a talented musician I will never understand those that feel they have to kill themselves to get respect I really can't believe that I am having trouble in calc class when I have already had the class that's crazy I saw sarah today which was cool because I gave her a really big scare ",high,low,low,high,high
"     I'm home. wanted to go to bed but remembered that I had a psychology homework to complete by sometime during next week. Maybe this wouldn't take that long. I can handle this. Something is making a noise in the restroom. Did I turn on the fan? I got to write more. This is harder than I thought. I'm not thinking anything. Was I always like this when I didn't have anything to do? Should I go to bed after finishing this assignment or should I stay awake. I think I had an appointment with someone. Or maybe it was some kind of meeting, that was not mandatory to participate in. Is there any assignments besides this. My roommate took my digital camera yesterday, but it's right beside me, now. Wonder what he did with it. I'll ask him when he comes back. My eyes hurt. I should really do something about my glasses. When should I go fix it. ? Feel tired. I should really go to bed. Only 9 minutes passed. Half way done. Wonder if I can just stop here. Maybe not. Hm. let's see. What am I thinking? Wow my feet are covered with dirt. Amazing I didn't notice that until now. How did I get this on my legs? I want to wash it off but I'll wait until this assignment is over. 8 minutes to go. What are my parents doing anyway? Hope they're doing fine. When would they be able to receive the email I sent few minutes ago. Anyways, I feel like I really had to finish something today but can't remember what it was. Guess I'll figure it out after taking a nap. Am I still not there. Never knew how long a 20 minute could be. Thirsty. No water around. Now I'm curious what the purpose of this assignment is and what kind of point professor is trying to make. Time is almost up. ",low,high,low,high,low
"my boyfriend is in the room and he stinks like a dirty/sweaty boy. I came over to his apt to do this homework. and then we were going to go to tops as well to get some super cute pictures of ourselves. I am also eating cheetos so it it causing me to type slower than normal. I'm usually a really fast typer, because I've had a computer for a long time. my dad is a programmer so we have always had a computer in our house. he wanted me to do computer science and I did as well, but when I came to UT I found out it is totally wrong for me. I just switched to retail merchandising and I'm not sure if that is right for me either but better than CS was. I think its funny how older people(no offense) are not really connected to the computer. the computer, can do so many wonderful things, I can't even see my life without one. don't think I'm a dork just because I said I was in CS, but take for example doing this homework online. its just so much easier to sit here and type and then turn it in electronically and then its saved to some machine and no one really had to put too much effort into it. it was a very easy/simple task. that's amazing. they said that my generation will spend like 12 years of there life online and I believe it. there is just so much to do online. I feel like I might be typing bad, but I'd like you to excuse that. I'm not really checking spelling and what not just typing. I wonder what you actually look for in these type of things, how you judge people off what they typed and then how you sort them into groups. I mean I'd hate to see what you think of me now, but it would be interesting to see if any of it really matched up to be true. so I totally love Paris Hilton, she is such a riot. I think its funny people don't like her because she has everything and because of the way she acted on her show. but I wont get into that, however she came out with a new book. I want to read it, I think it will be amusing. on a side note, I'm not really sure why I'm eating cheetos, I don't really like them, just every now and then I crave them. I absolutely hate how they make your mouth orange and gross feeling. I just   dropped one on my lap and it left that residue and its gross to think that is all in  your teeth. I really hope this thing is self timed and not expecting me to be timing myself. I never realized 20 minutes would feel like so long. maybe because I'm starving and I just want to go eat and go to tops, it feels like that. I hate that. how are you suppose to do something  that feels like eternity. I feel bad because its like my boyfriend is waiting on me to finish this so we can go. I was going to do it earlier but I was having a hard time getting the pre-screening thing to work. then once I did it takes so freaking long to load each page its like pointless. you almost just want to not look and just click each thing as fast as you can to get it over with, because its so freaking slow. I still have to go back and finish that and I dread it. however, I think my boyfriend is entertained now because I can here he is playing playstation two in the next room. gosh I'm so hungry and this is taking way to long. I have now moved on to goldfish to eat. speaking of eating in that pre screening thing all those questions about food and over eating. wow. I feel bad that so many people have eating disorders, I know quite a few. so many things for girls to be stressed about. I hate how people just think you can diet and loose it all. they think its all just food related. I hate how little kids are so fat today. I wish people would help teach kids how to eat. they let them eat ANYTHING. they are so worried about other things it seems like they forget to teach them about diet and exercise. or they don't set the example themselves. my hair stylist has this really great trick where she only lets her kids have 1 coke aka soda per day and they only get it in the evening if they have done ALL their homework and their daily chore. then they also get a snack  sized candy (the little bitty bite size) as a treat as well for doing their homework and stuff and the kids thing that is such a treat. then there are kids who drink like 8 cokes a day. crazy crazy. I wonder what it is like for your generation to look down on us and you probably think we are all lazy. we use the computer for everything and our clothes and music. its just rather funny how everyone is amazed by the last generation. I'm really starting to wonder is this is self timed or computer timed. I can't imagine it not being computer timed. I can't imagine being the person who reads all this crap. it has to get old and what happens if you miss something important?  that could suck all that work and you miss a small detail. but that could happen anywhere I guess. I'm so hungry its not funny. I'm glad I don't have to pee or anything that would just suck. I feel like my mind is going blank because I'm so bored. I wonder if people ever fall asleep doing this. it would be easy. gosh its really bothering me the time thing at the top doesn't have any numbers. like its keeping time per say. I'm quitting this at 4 o'clock even if this thing doesn't stop itself because I know I'll be over the time if I wait till 4 so you can't cut my grade cause your thing didn't work. oh crap this clock is fast so I'll quit like 8 min before 4 and that should be even. I feel like I started this at 3:30 hmmmmmm I can't really remember. damn it. this sucks ass. I don't see how this is helping you. just making me get annoyed because I don't know when I started so i dont know when I can end and just go on with my life. I wonder if you really do read all of these or just skim it or run it through a word finder. I feel like this is pointless and I'm past my typing time. I have no concept of time, but I don't know if anyone really does. just depends on what they are doing or what's going on around them and etc. time is a funny thing. more goldfish to cure my growling stomach/boredom. ouch I just kicked the computer or something underneath me. and it hurt. to bad I'm not on my computer cause then I could be laying in bed doing this. wireless and laptops. genius. the count down to me hitting the finish button and quitting all of this is t-minus 3 minutes and counting. 3:55 will be the new time for completion. 3 more minutes. and I'm stumped. I don't know what to type/talk about. ooooooo 2 minutes and counting. ok randomness:  I am not sure what I'm going to do tonight, I might go to a party or something, however I'm not going to dress up really cause I'm just feeling a chill vibe. 0ne minute. . and probably have a few drinks, or either rent movies and stay the night in with my boyfriend. sweet guy. not sure we are completely on the same page, but we have years for that to develop. . Times up. ",high,high,low,high,high
"I feel kind of nervous right now. I have never done anything like this before. at least not as something to turn in for a class. lately, I've been thinking about school and how this semester is going to. I need to start looking for a job sometime this week. one of my best friends is coming back from Sacremento, CA this weekend, so I'm really excited about that. I haven't bought all of my books yet, so I'm hoping to do that soon, especially for this class because we have a test pretty soon. I took this class last semester but I totally slacked off and got a D in it, but I need to take it again in order to get into child psychology. I don't want to let my parents down again. my sister took this semester off because she got bad grades last semester. I know that I can do really well this semester if I really want to and I think that I do. I just really hope that everything works out ok. I guess you've probably noticed by now that I ramble on and on. I think that stream of consciousness is really cool. I think it was Virginia Woolf who made it popular. I think it was her. I  loved the way she would start talking about one thing and then that thing would remind her of something else and then she'd go off on that. I don't know how much I'm supposed to be writing . I think this assignment is neat. I hope that I'm going to be able to handle working and goingt to school. I worked at late night at jester last semester, and I think it was the hours that threw me off because I would work from 8pm to 1am. I live at kinsolving this year and I think that it's a lot better than Jester. I think I've been writing quite a bit already and I think that this is my stream of consciousness. all that I really do think about is doing well this semester because I want to be an elementary teacher already. so I guess I just hope.    ",high,low,high,high,high
"i feel really weird HAVING to write something. Pressure?  Yeah. My   dormmates   are so loud. I can hear the tv blaring through the door right now. They woke me up this morning (on several accounts. )  I have to get used to this (or they have to SHUT UP! :) )  my dad called right as I started this. I would really like to talk to him, but I turned my phone off. Hopefully I can get through to him after I finish with this. I'm a really fast typer, this thing will probably be really long. Maybe I should slow it down some. I was really suprised that my dad called. I thought that I sent him a pretty nasty e-mail last night about paying for my books (i'm really just mad at him because he hasn't made the effort to come up and see me yet. )  but he sent me back another e-mail saying that he would give me the check for my books tomorrow. when he came up for lunch. Damn!  I hate it when he does that too me. Just when he fits the perfect category of a bastard father and I have a legitimate reason for hating him he pulls some shit like this. Also, looking back at my e-mail it wasn't nasty at all. Why can't I just tell him how I feel. It's a shame that no one in the Psych department is going to read this, because I'm sure that one could do some serious psycho-analysis on the way I feel about my father. I would really love to do research on girls from families where the father   abandoned   the family. See how they turned out in their romantic/sexual relationships, how they relate to other men. I know that I would probably be the perfect sterotypical   i don't have a daddy   girl. Insatiable sexual appetite, emotional codependency, needing to constantly be reassured that the ones I love most won't leave me. It makes me really sad what my dad has done to me. I don't think it's ever really angered me (i don't know that I've actually ever been REALLY angry at anything), but it makes me almost stiff with sadness. My roomate just walked in totally throwing my stream of consciousness off, but I think I was probably done with that thought anyway. I don't know what I'm going to do with my college education. There's just so much that I could see myself being really happy doing. I would love to go into print journalism (write for a newspaper or a magazine), psychology (what I talked about earlier), teaching (i don't know why. i just love kids and i feel that i'm a really good teacher), then there's politics. I could really see myself getting into a campaign. BUt last night I had a dream, so real that earlier today I couldn't remember whether it had really been a dream that I just HAD to get into the College of Communications. I wonder if that holds any weight to what I really want to do. HOw logical does it sound to make a career descision on a dream?  Some might say that it's very logical, like Mom. I love her so much. I remember when I was a freshman in high school and brainwashed by FBBA, and we would get into these huge religious debates. Now I think that there may be more truth to what she thinks than what I believed. I miss her and Austin so much that it hurts. I'm cryng now just thinking about it. After the divorce, we became a unit. NOw I can't help but feel that that unit is slowing crumbling. I miss how Austin would always make me laugh. He's so goofy. I remember when football was on he would pile up thed cushions from the sofa and dive into them. I feel like a little piece of me has died, even though he's only 2 1/2 hours away. Who is this close to their brother?  But, Mom was never home and for the past 2 years I've kind of raised him. I remember when he and I would commisserate about how much he and I hated Roisin. I feel realy bad for not being able to get ahold of her before I left. I guess I probably could have tried harder. That's my problem. I get so close to being a good person, or being a sociable person as is the case at school, but I never follow through with what I say I will. I wonder if that has anything to do with Dad never doing the same thing?  I am so excited about American Idol coming on tonight. LEss than 2 hours. I really hope that Kelly winds. I miss Kenny and Bevin. I'm not really sure that she wants me as her bridesmaid, or if she's just doing it because Kenny asked Richard to be his groomsman. When I call them she never seems to want to talk to me. Oh well, she asked me and there's nothing that she can do about it now. Well, I guess there is. I want to get married. To Richard. And I want to raise a family. I want a dog. I want to be happy. I want to watch our 4 kids grow up and have kids of their own. I would really love to be in Huntsville with him right now. I wish that I could life the UT campus and set it back down in Huntsville. I mean, I love UT but I hate having to be so far from Richard. It was really fun this weekend staying with him. I do feel really bad about giving that guy my number. he called last night and he talks as if he was really slow. oh well. i know i won't follow up on it. and why would i?  i'm in a very serious, very committed relationship. and i love richard very very much. i really believe that he is my soulmate ",high,low,high,low,high
"I have not been feelling well, and my throat is bothering me. I am about to go sit in on a freshman seminar class that my cousin took last year and recommended to me. It was full though, so I signed up for another freshamn seminar calss titled ""Introducion to Italian Culture,"" but I dropped it this morning, because I think it is so irrelevant to anything I am interested in, and I am already feeling overwhelmed by my other classes alone. I was signed up to take 15 hours, but since I droppped that seminar, I now have only 12 hours. Anyway, I am going to try and add this other freshman seminar which is ""Interior Design. ""  I'm sure that the professor won't let me in, since it is already full, but I just thought that is worth a shot. I am sitting in my dorm, Hardin House, right now, and I just figured out how to use their computers here. I did not bring my own computer, so I am having to use the computers here. I still do not know how to check my email yet, though. I just figured out how to be able and send email from here. My roommate does have a computer, but I can tell that she would prefer it if I didn't use her's, so I respect that. She has been a pretty good roommate, though, all in all. We knew each other from high school, and we are fairly good friends. I was initially sort of worried about how it would work out, but I think taht it will work out fine. One of my best friends is here, also, but we decided not to room together, because we thought that it might hurt our friendship. She is the one who I am going with to the freshman seminar calss to sit in. She got into that class. Anyway, in the dorm that I am living in, there are two parts across the street from each other. Stacy, the one who is my best friend, lives across the street. The part that I live in is bigger, but I kind of wish that I lived in the other part. The people that I live with seem to be a little bit snobbier or more reserved or something. Oh well, I'm over across the street a lot, so I guess it doesn't really matter all taht much. I am so excited that R. U. F. is starting tonight. It is a bible study that I am going to go to. I've heard that it is so good, and you meet so many neat peoiple there. I miss all of the Christian based things that I went to bakc at home. I used to go to Campus Life, which was really laid back and fun, which was offered through my high school. I also wen tto a smaller bible study once a week which was led by a lady who is now one of my good friends. She is not much older than I am, so she can relate really well to all the stuff that I go through. Not taht I have any major problems or anything, but just all of the normal stuff. Speaking of problems, I did get really homesick the other day. Obviously, I guess you can tell that I am a freshman. Anyway, I got sick , adn any time I am sick I always want my mom there to go get me medicine, and take my temperature, and make me soup, and stuff like that. But, I managed just fine. I went to the health center and saw the doctor, and got a prescription and I am feeling much better today. I still am really tired though. I think that might have been why I got sick in the first place, was lack of sleep. Well, I have finished the twenty minutes, but I'm sure taht this is horribly written, but I guess it doesn;'t matter. ",high,high,high,high,low
